x1,y1,x2,y2
268,60,317,21
265,409,267,368
267,368,312,371
286,327,312,371
128,36,175,46
143,19,175,46
128,36,143,19
166,8,175,46
143,19,166,8
112,7,128,36
112,7,143,19
15,521,39,491
0,496,15,521
0,530,15,521
0,530,39,539
15,521,39,539
39,491,39,539
0,496,0,530
124,283,164,254
124,283,147,227
147,227,164,254
788,23,813,67
751,75,788,23
164,254,195,260
164,240,164,254
124,283,159,309
159,309,164,254
847,30,860,72
860,72,886,69
847,30,886,69
846,102,860,72
860,72,892,120
846,102,892,120
886,69,892,120
813,67,860,72
813,67,847,30
451,349,500,318
485,380,500,318
451,349,485,380
813,67,846,102
558,115,564,85
520,100,558,115
483,436,485,380
485,380,517,403
509,118,558,115
509,118,520,100
451,349,451,402
451,402,485,380
546,147,558,115
558,115,591,125
546,147,591,125
451,402,483,436
509,118,546,147
564,85,591,125
423,292,450,263
450,263,465,274
419,247,423,292
419,247,450,263
419,247,476,236
450,263,476,236
244,8,270,0
166,8,270,0
61,0,270,0
270,0,317,21
270,0,365,0
268,60,270,0
308,515,358,502
344,539,358,502
529,350,549,382
549,382,575,352
529,350,575,352
517,403,549,382
517,403,529,350
547,427,549,382
549,382,571,398
571,398,575,352
596,384,620,420
620,420,621,368
596,384,621,368
571,398,620,420
571,398,596,384
575,352,596,384
575,352,621,368
718,403,760,437
760,437,769,381
365,0,388,12
368,40,388,12
387,139,430,103
387,139,434,146
388,12,408,46
428,198,473,176
428,198,434,146
847,30,850,0
850,0,874,0
847,30,874,0
814,0,850,0
814,0,847,30
814,0,815,28
788,23,815,28
892,120,916,188
892,120,944,126
813,67,815,28
815,28,847,30
572,451,580,485
546,487,580,485
832,139,846,102
832,139,892,120
572,451,609,476
580,485,609,476
771,115,846,102
546,487,575,520
575,520,580,485
771,115,832,139
575,520,609,476
224,371,236,355
188,354,224,371
224,371,231,423
204,396,224,371
224,371,267,368
224,371,265,409
188,354,204,396
456,19,456,69
429,17,456,19
429,17,456,69
408,46,429,17
388,12,429,17
365,0,429,17
883,484,910,496
903,533,910,496
903,533,951,528
910,496,951,528
931,485,951,528
910,496,931,485
883,484,922,450
910,496,922,450
922,450,931,485
379,465,437,457
400,426,437,457
379,465,400,426
105,369,122,406
122,406,162,390
105,369,162,390
91,416,122,406
91,416,105,369
402,499,437,457
379,465,402,499
122,406,133,448
91,416,133,448
133,448,162,390
437,457,451,402
437,457,483,436
955,420,959,452
955,264,959,452
400,426,451,402
951,528,959,452
931,485,959,452
703,448,760,437
703,448,718,403
703,448,744,497
744,497,760,437
922,450,959,452
667,425,703,448
667,425,718,403
365,0,483,0
429,17,483,0
620,420,668,379
621,368,668,379
660,343,668,379
483,0,508,0
483,0,500,45
500,45,508,0
667,425,668,379
668,379,718,403
456,19,483,0
456,19,500,45
620,420,667,425
41,395,59,341
41,395,105,369
59,341,105,369
41,395,91,416
138,346,159,309
138,346,188,354
428,198,476,236
703,448,714,499
345,425,379,465
345,425,400,426
325,477,379,465
871,381,934,391
871,381,917,339
575,352,612,320
558,303,612,320
558,303,575,352
580,198,634,160
592,157,634,160
634,160,656,211
634,160,693,167
572,451,620,420
833,346,901,302
833,346,917,339
901,302,917,339
833,346,871,381
201,504,221,539
201,504,259,500
890,428,934,391
890,428,922,450
883,484,890,428
835,425,890,428
835,425,883,484
871,381,890,428
835,425,871,381
356,177,387,139
348,127,356,177
348,127,387,139
302,177,348,127
292,122,348,127
315,68,348,127
663,476,703,448
663,476,667,425
663,476,714,499
609,476,620,420
609,476,663,476
620,420,663,476
609,476,632,523
632,523,663,476
663,476,672,524
727,268,780,271
727,268,748,237
199,443,259,500
259,500,260,444
155,496,199,443
133,448,199,443
155,496,201,504
199,443,201,504
697,306,727,268
727,268,752,318
752,318,780,271
730,230,748,237
727,268,730,230
748,152,791,162
748,152,771,115
771,115,791,162
389,538,402,499
358,502,389,538
358,502,402,499
344,539,389,538
534,215,567,252
512,268,534,215
886,69,924,91
892,120,924,91
259,500,290,475
308,515,325,477
290,475,308,515
500,318,529,350
485,380,529,350
529,350,558,303
500,318,558,303
380,312,423,292
409,356,423,292
380,312,409,356
328,313,380,312
362,370,380,312
328,313,362,370
362,370,409,356
349,261,380,312
72,103,93,68
93,68,131,88
72,103,131,88
252,131,253,180
203,172,253,180
456,69,483,92
51,77,93,68
70,25,93,68
51,77,70,25
51,77,72,103
23,104,51,77
138,346,162,390
162,390,188,354
162,390,199,443
162,390,204,396
105,369,138,346
780,271,796,303
796,303,818,262
605,282,612,320
558,303,605,282
465,492,500,481
465,492,483,436
437,457,465,492
402,499,465,492
483,92,497,67
456,69,497,67
760,437,788,501
48,431,96,469
48,431,91,416
91,416,96,469
39,491,96,469
41,395,48,431
0,427,41,395
345,425,362,370
312,371,362,370
312,371,328,313
668,379,703,351
660,343,703,351
660,343,697,306
31,39,51,77
31,39,70,25
389,538,452,537
402,499,452,537
452,537,465,492
901,302,951,301
178,539,201,504
155,496,178,539
178,539,221,539
1,365,41,395
0,427,1,365
400,169,428,198
400,169,434,146
356,177,400,169
387,139,400,169
379,221,400,169
315,68,368,40
483,92,520,100
96,469,112,518
112,518,155,496
96,138,123,163
315,68,373,92
348,127,373,92
373,92,387,139
677,98,724,119
693,167,724,119
677,98,693,167
724,119,748,152
724,119,751,75
724,119,771,115
253,180,282,231
253,180,302,177
822,539,861,530
822,539,903,533
760,437,813,413
813,413,835,425
813,413,871,381
670,279,697,306
660,343,670,279
72,103,130,125
96,138,130,125
1,64,23,104
1,64,20,156
1,64,31,39
1,64,7,16
7,16,31,39
1,64,51,77
59,341,90,313
90,313,105,369
81,295,90,313
90,313,138,346
591,125,592,157
591,125,634,160
591,125,612,79
896,239,916,188
896,239,940,243
901,302,940,243
896,239,901,302
13,223,55,220
13,223,20,156
456,69,500,45
847,30,911,16
886,69,911,16
475,290,500,318
451,349,475,290
500,318,512,268
228,233,253,180
228,233,282,231
423,292,451,349
228,233,240,290
527,170,546,147
600,0,685,29
612,79,677,98
612,79,652,55
652,55,677,98
872,275,896,239
872,275,901,302
796,303,872,275
833,346,872,275
818,262,872,275
824,211,872,275
824,211,896,239
744,43,788,23
911,16,950,11
874,0,911,16
874,0,950,11
911,16,944,47
886,69,944,47
120,539,178,539
120,539,155,496
112,518,120,539
500,481,531,524
465,492,531,524
531,524,632,523
531,524,575,520
575,520,632,523
452,537,531,524
531,524,546,487
386,276,423,292
380,312,386,276
386,276,419,247
349,261,386,276
652,55,685,29
629,29,685,29
629,29,652,55
600,0,629,29
612,320,642,284
605,282,642,284
651,246,670,279
642,284,651,246
642,284,670,279
642,284,660,343
605,282,651,246
867,174,892,120
867,174,916,188
867,174,896,239
349,261,388,257
379,221,388,257
388,257,419,247
386,276,388,257
697,306,700,255
700,255,727,268
670,279,700,255
611,233,651,246
611,233,656,211
611,233,634,160
409,356,451,402
409,356,451,349
212,200,253,180
203,172,212,200
70,25,128,36
79,535,120,539
79,535,112,518
39,491,79,535
79,535,96,469
39,539,79,535
39,539,120,539
835,425,836,487
836,487,883,484
836,487,861,530
81,295,124,283
86,250,124,283
81,295,86,250
358,502,379,465
90,313,124,283
124,283,138,346
325,477,358,502
901,302,955,264
513,147,546,147
513,147,527,170
21,254,86,250
21,254,55,220
639,124,677,98
639,124,693,167
634,160,639,124
591,125,639,124
612,79,639,124
31,39,42,0
7,16,42,0
813,413,821,443
760,437,821,443
821,443,835,425
821,443,836,487
788,501,821,443
123,53,128,36
70,25,123,53
93,68,123,53
677,98,714,72
652,55,714,72
714,72,724,119
345,425,402,393
362,370,402,393
400,426,402,393
402,393,409,356
402,393,451,402
