x1,y1,x2,y2
368,98,407,128
368,98,397,80
397,80,407,128
397,80,417,44
364,55,417,44
364,55,397,80
364,55,368,98
165,375,194,396
133,395,194,396
133,395,165,375
194,396,199,361
165,375,199,361
138,348,165,375
133,395,138,348
260,173,283,213
253,217,260,173
253,217,283,213
216,183,227,229
216,183,253,217
227,229,253,217
216,183,260,173
262,265,283,213
253,217,262,265
227,229,262,265
64,77,93,41
64,77,118,58
93,41,118,58
64,77,65,40
65,40,93,41
57,5,65,40
57,5,93,41
93,41,106,0
57,5,106,0
0,336,25,368
25,368,39,321
0,336,39,321
0,296,0,336
0,296,39,321
443,70,447,99
418,84,447,99
418,84,443,70
417,44,418,84
397,80,418,84
407,128,418,84
417,44,443,70
407,128,447,99
210,491,242,467
210,491,278,491
242,467,278,491
193,452,210,491
193,452,242,467
434,433,461,402
417,388,434,433
417,388,461,402
155,491,210,491
155,491,193,452
451,355,461,402
417,388,451,355
434,270,446,220
434,270,477,257
446,220,477,257
236,129,290,129
260,173,290,129
236,129,260,173
216,183,236,129
260,173,313,173
283,213,313,173
434,270,463,302
463,302,477,257
290,129,313,173
431,19,454,52
431,19,464,22
454,52,464,22
431,19,434,0
434,0,464,22
454,52,477,100
464,22,477,100
93,41,140,10
118,58,140,10
140,10,142,79
118,58,142,79
106,0,140,10
142,79,186,83
140,10,186,83
186,83,202,12
140,10,202,12
106,0,202,12
88,151,103,108
103,108,121,148
88,151,121,148
88,151,118,168
118,168,121,148
81,179,88,151
40,145,81,179
40,145,88,151
220,279,227,229
220,279,262,265
57,115,103,108
57,115,88,151
174,242,227,229
174,242,220,279
81,179,118,168
40,145,57,115
220,279,246,323
201,320,220,279
201,320,246,323
174,242,216,183
199,361,246,323
199,361,201,320
170,307,220,279
170,307,201,320
313,173,353,199
353,199,362,150
313,173,362,150
58,235,81,179
81,179,98,206
58,235,98,206
81,179,98,192
98,192,98,206
98,206,129,212
98,192,129,212
93,261,129,212
93,261,98,206
186,83,236,129
226,74,236,129
186,83,226,74
58,235,93,261
202,12,249,20
226,74,249,20
202,12,226,74
353,199,384,215
357,244,384,215
353,199,357,244
384,215,410,188
353,199,410,188
384,215,399,226
357,244,399,226
399,226,410,188
0,26,6,55
1,119,6,55
0,26,1,119
6,55,27,20
0,26,27,20
27,20,57,5
0,26,57,5
463,302,477,336
477,257,477,336
434,433,477,440
