Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_T
ID442,442,13,3.848,168.157,306.438,0
ID274,274,13,3.835,168.221,306.377,1
ID610,610,13,3.855,168.015,306.352,2
ID780,780,13,3.838,168.255,306.268,3
ID1111,1111,13,3.825,167.925,305.781,4
ID1274,1274,13,3.863,168.171,304.926,5
ID946,946,13,3.881,168.437,304.447,6
ID1440,1440,13,3.86,168.39,304.935,7
ID1769,1769,13,3.874,168.427,304.849,8
ID1607,1607,13,3.939,168.31,304.402,9
ID1933,1933,13,3.963,168.242,304.211,10
ID2098,2098,13,3.924,168.244,305.049,11
ID2261,2261,13,3.945,168.323,305.284,12
ID2425,2425,13,3.926,168.366,305.365,13
ID2755,2755,13,3.971,167.483,305.883,14
ID2591,2591,13,3.981,166.768,305.743,15
ID2919,2919,13,3.968,167.463,306.668,16
ID3084,3084,13,3.995,167.482,306.515,17
ID3250,3250,13,4.036,167.686,305.876,18
ID3552,3552,13,3.996,167.824,305.802,19
ID3497,3497,13,3.989,168.086,305.512,20
ID3750,3750,13,3.961,168.28,306.543,21
ID3914,3914,13,4.017,168.851,307.286,22
ID4081,4081,13,3.92,168.423,308.183,23
ID4243,4243,13,4.048,169.012,308.968,24
ID4404,4404,13,4.153,169.428,308.071,25
ID4567,4567,13,4.166,170.238,308.016,26
ID4734,4734,13,4.178,170.077,308.157,27
ID4899,4899,13,4.147,170.047,308.129,28
ID5064,5064,13,4.09,170.58,308.293,29
ID5229,5229,13,4.092,171.338,308.269,30
ID5395,5395,13,4.091,170.947,308.112,31
ID5559,5559,13,4.088,170.601,308.148,32
ID5722,5722,13,4.024,170.203,308.152,33
ID5882,5882,13,3.955,170.276,308.603,34
ID6366,6366,13,3.959,170.539,309.19,35
ID6045,6045,13,3.941,169.769,309.383,36
ID6206,6206,13,3.848,169.546,308.485,37
ID6526,6526,13,3.86,168.675,308.201,38
ID7013,7013,13,3.885,168.697,308.329,39
ID6688,6688,13,3.892,168.717,308.648,40
ID6848,6848,13,3.936,169.134,308.024,41
ID7173,7173,13,3.935,168.882,308.492,42
ID7332,7332,13,3.955,168.089,307.678,43
ID7484,7484,13,3.74,168.182,307.859,44
ID7636,7636,13,3.878,168.972,307.963,45
ID7790,7790,13,3.985,168.99,307.088,46
ID7944,7944,13,3.991,169.832,307.351,47
ID8103,8103,13,4.102,170.097,306.977,48
ID8262,8262,13,4.203,169.769,307.19,49
ID8421,8421,13,4.228,169.608,307.074,50
ID8579,8579,13,4.276,168.981,305.951,51
ID8740,8740,13,4.286,169.142,305.808,52
ID8903,8903,13,4.261,169.45,305.795,53
ID9226,9226,13,4.251,168.81,306.147,54
ID9064,9064,13,4.226,169.304,306.133,55
ID9390,9390,13,4.172,168.611,306.76,56
ID9552,9552,13,4.162,168.641,307.496,57
ID9717,9717,13,4.167,169.728,307.782,58
ID9881,9881,13,4.2,169.967,308.048,59
ID10044,10044,13,4.162,170.7,308.826,60
