x1,y1,x2,y2
673,26,730,1
603,0,673,26
603,0,730,1
730,1,790,22
730,1,741,38
500,317,561,300
693,446,711,404
665,403,711,404
711,404,754,437
711,404,764,381
707,348,711,404
669,357,707,348
669,357,711,404
0,93,29,64
0,93,28,117
0,93,0,150
0,28,0,93
949,126,950,51
934,91,950,51
887,72,950,51
914,21,950,51
914,21,959,11
950,51,959,11
475,469,531,516
447,507,531,516
531,516,546,480
531,516,570,519
384,539,531,516
18,273,58,264
18,273,49,215
8,197,49,215
8,197,18,273
18,273,30,320
0,366,30,320
0,366,18,273
0,366,8,197
133,281,179,254
122,227,133,281
122,227,179,254
179,254,189,288
179,254,182,203
179,254,224,243
189,288,224,243
489,34,509,0
469,11,489,34
469,11,509,0
489,34,500,75
445,66,489,34
489,34,529,32
509,0,529,32
500,75,529,32
131,0,136,51
101,34,131,0
136,51,174,11
131,0,174,11
652,319,704,306
669,357,704,306
704,306,707,348
704,306,756,312
673,289,704,306
432,452,439,402
603,211,644,207
603,211,633,242
633,242,644,207
603,211,644,157
566,246,603,211
587,158,603,211
567,187,603,211
614,419,665,403
450,19,489,34
445,66,450,19
403,47,450,19
450,19,469,11
645,123,700,147
644,157,645,123
611,77,677,87
645,123,677,87
611,77,645,123
591,122,645,123
644,207,703,256
633,242,703,256
703,256,709,215
709,215,746,225
703,256,746,225
673,289,703,256
643,268,703,256
703,256,741,268
627,31,677,87
611,77,627,31
627,31,673,26
603,0,627,31
673,26,677,87
790,489,834,478
834,413,834,478
834,478,883,432
821,532,834,478
834,478,858,528
834,478,877,482
790,489,821,532
868,187,885,238
868,187,918,187
868,187,891,121
847,142,868,187
799,156,847,142
799,156,868,187
813,212,868,187
195,478,226,436
799,156,813,212
171,519,217,527
195,478,217,527
806,59,824,0
824,0,857,35
195,478,253,473
226,436,253,473
44,506,87,460
25,442,87,460
790,22,824,0
70,386,87,460
730,1,824,0
390,347,397,387
345,360,397,387
332,417,397,387
390,347,448,353
397,387,448,353
332,417,386,421
386,421,397,387
397,387,439,402
386,421,439,402
109,269,133,281
109,269,122,227
58,264,109,269
75,331,109,269
109,269,111,323
799,156,806,111
755,143,806,111
806,59,806,111
770,97,806,111
806,111,847,142
87,460,116,426
806,111,844,99
116,426,153,454
529,32,547,0
509,0,547,0
614,419,656,480
596,472,656,480
596,472,614,419
720,50,749,70
720,50,741,38
720,50,730,1
673,26,720,50
217,527,275,539
259,511,275,539
275,539,307,509
883,0,914,21
857,35,883,0
883,0,959,11
824,0,883,0
8,197,45,167
176,102,196,69
176,102,221,130
176,102,187,146
187,146,221,130
426,199,475,191
455,159,475,191
426,199,466,245
466,245,475,191
475,191,521,218
475,191,527,176
529,32,553,42
547,0,553,42
500,75,553,42
553,42,561,85
400,498,432,452
374,465,400,498
374,465,432,452
666,524,711,522
702,491,711,522
711,522,739,491
702,491,739,491
673,289,715,286
703,256,715,286
704,306,715,286
715,286,741,268
715,286,756,312
547,0,577,30
553,42,577,30
561,85,577,30
577,30,611,77
577,30,627,31
577,30,603,0
547,0,603,0
764,381,802,349
802,349,834,413
204,337,252,320
756,312,802,349
802,349,845,346
834,413,845,346
802,349,806,312
136,51,140,94
104,105,140,94
135,133,140,94
140,94,176,102
140,94,196,69
136,51,196,69
135,133,176,102
62,44,79,0
40,8,79,0
79,0,101,34
79,0,131,0
44,506,81,539
81,539,87,460
81,539,107,533
356,506,374,465
13,539,81,539
752,539,899,526
752,539,821,532
302,463,332,417
302,463,374,465
332,417,374,465
711,522,752,539
739,491,752,539
302,463,356,506
739,491,790,489
752,539,790,489
135,133,164,151
139,181,164,151
226,436,273,427
253,473,273,427
164,151,176,102
164,151,187,146
273,427,302,463
644,539,666,524
625,519,644,539
386,421,432,452
374,465,386,421
644,539,711,522
644,539,752,539
116,426,150,408
150,408,153,454
121,371,150,408
150,408,188,391
0,433,16,396
0,433,25,442
0,433,0,465
0,366,0,433
455,159,510,150
475,191,510,150
510,150,527,176
510,150,543,151
462,118,510,150
516,107,543,151
510,150,516,107
318,0,319,49
281,29,318,0
318,0,355,0
0,150,8,197
275,539,294,539
294,539,307,509
294,539,336,539
224,0,258,84
224,0,281,29
224,0,318,0
174,11,224,0
174,11,196,69
196,69,224,0
131,0,224,0
170,169,187,146
164,151,170,169
170,169,182,203
139,181,170,169
187,146,232,191
170,169,232,191
732,459,754,437
732,459,790,489
732,459,739,491
711,404,732,459
702,491,732,459
693,446,732,459
516,107,559,114
559,114,561,85
543,151,559,114
559,114,591,122
699,66,724,104
677,87,699,66
699,66,720,50
673,26,699,66
699,66,749,70
570,519,596,539
596,539,625,519
531,516,596,539
384,539,596,539
189,288,204,337
189,288,252,320
596,539,644,539
81,539,139,539
107,533,139,539
224,243,252,320
139,539,171,519
133,499,139,539
224,243,269,266
269,266,281,220
269,266,306,316
252,320,269,266
139,539,275,539
139,539,217,527
269,266,312,261
780,261,784,209
746,225,784,209
751,190,784,209
784,209,799,156
784,209,813,212
746,225,751,190
559,114,563,134
563,134,591,122
563,134,587,158
543,151,563,134
940,389,959,449
927,435,959,449
928,476,959,449
949,301,959,449
959,11,959,449
956,516,959,449
366,43,394,2
355,0,394,2
394,2,450,19
394,2,403,47
394,2,509,0
394,2,469,11
355,0,509,0
221,130,232,191
700,147,751,190
709,215,751,190
232,191,282,176
281,220,282,176
221,130,282,176
275,127,282,176
282,176,329,165
282,176,333,215
0,150,0,366
30,320,70,386
