x1,y1,x2,y2
284,284,310,328
284,284,321,264
310,328,321,264
675,227,708,226
696,257,708,226
675,227,696,257
675,227,694,161
644,211,675,227
644,211,694,161
651,272,675,227
651,272,696,257
637,244,675,227
637,244,644,211
637,244,651,272
520,176,524,218
497,192,524,218
497,192,520,176
467,241,497,192
460,169,467,241
460,169,497,192
467,241,524,218
16,377,84,401
47,328,84,401
16,377,47,328
332,363,358,371
354,308,358,371
332,363,354,308
310,328,332,363
310,328,354,308
301,382,332,363
301,382,339,427
332,363,339,427
339,427,358,371
301,382,310,328
0,109,26,134
12,178,26,134
0,109,12,178
0,43,27,77
0,43,0,109
0,109,27,77
26,134,27,77
0,109,0,269
0,269,12,178
509,149,520,176
520,176,541,149
509,149,541,149
507,122,509,149
507,122,541,149
463,122,507,122
463,122,509,149
256,99,274,38
274,38,294,88
256,99,294,88
497,192,509,149
460,169,509,149
256,99,284,139
284,139,294,88
460,169,463,122
772,229,820,212
750,200,820,212
750,200,772,229
818,265,820,212
772,229,818,265
772,229,779,266
779,266,818,265
744,236,772,229
744,236,750,200
902,528,931,485
878,487,902,528
878,487,931,485
744,236,779,266
902,528,956,523
931,485,956,523
708,226,722,197
675,227,722,197
694,161,722,197
722,197,754,147
722,197,750,200
750,200,754,147
522,444,545,484
545,484,567,434
522,444,567,434
722,197,744,236
694,161,754,147
545,484,600,472
567,434,600,472
708,226,744,236
257,293,284,284
257,293,268,237
268,237,284,284
257,293,310,328
494,470,545,484
494,470,522,444
257,293,263,346
263,346,310,328
234,268,257,293
234,268,268,237
481,421,494,470
439,457,494,470
439,457,481,421
207,308,257,293
207,308,263,346
207,308,234,268
481,421,522,444
561,113,563,84
520,108,561,113
520,108,563,84
561,113,581,161
541,149,561,113
541,149,581,161
561,113,591,124
563,84,591,124
581,161,591,124
520,108,541,149
335,539,602,539
379,535,602,539
335,539,379,535
602,539,630,520
630,520,670,519
602,539,670,519
453,531,602,539
379,535,453,531
530,523,602,539
530,523,573,517
573,517,602,539
573,517,630,520
715,528,828,539
602,539,828,539
602,539,715,528
670,519,715,528
512,269,563,256
512,269,559,305
559,305,563,256
453,531,530,523
573,195,581,161
541,149,573,195
512,0,603,0
512,0,549,14
549,14,603,0
512,0,541,40
541,40,549,14
567,35,603,0
549,14,567,35
541,40,567,35
167,214,217,225
166,232,217,225
166,232,167,214
190,260,217,225
166,232,190,260
110,231,166,232
110,231,144,280
144,280,166,232
110,231,146,209
146,209,166,232
61,208,66,157
12,178,61,208
12,178,66,157
146,209,167,214
144,280,190,260
130,13,146,0
72,0,146,0
72,0,130,13
146,0,176,20
130,13,176,20
146,0,211,1
176,20,211,1
751,72,803,63
751,72,766,108
766,108,803,63
0,340,16,377
0,340,0,405
0,405,16,377
0,340,47,328
0,340,21,297
21,297,47,328
0,269,0,340
0,269,21,297
388,28,428,13
388,28,408,48
408,48,428,13
428,13,468,7
454,18,468,7
428,13,454,18
191,79,274,38
191,79,256,99
408,48,454,18
211,188,248,182
210,171,211,188
210,171,248,182
182,190,217,225
211,188,217,225
182,190,211,188
182,190,186,171
186,171,211,188
217,225,248,182
186,171,210,171
151,477,197,440
167,433,197,440
151,477,167,433
124,437,167,433
124,437,147,380
147,380,167,433
167,433,181,379
147,380,181,379
181,379,197,440
290,437,309,475
257,499,290,437
257,499,309,475
124,437,151,477
297,516,309,475
257,499,297,516
61,208,114,186
90,172,114,186
61,208,90,172
200,492,239,452
239,452,257,499
200,492,257,499
66,157,96,115
90,172,96,115
66,157,90,172
239,452,290,437
200,492,212,533
212,533,257,499
96,115,123,142
90,172,123,142
114,186,123,142
468,7,512,0
395,0,512,0
395,0,468,7
745,502,785,495
764,443,785,495
745,502,764,443
357,0,388,28
357,0,395,0
388,28,395,0
445,396,487,378
445,396,481,421
481,421,487,378
395,0,428,13
445,396,451,349
451,349,487,378
487,378,530,397
481,421,530,397
487,378,501,322
451,349,501,322
406,293,420,248
406,293,461,287
420,248,461,287
467,241,512,269
461,287,512,269
461,287,467,241
420,248,467,241
451,349,461,287
461,287,501,322
406,293,451,349
501,322,512,269
274,38,320,49
294,88,320,49
877,383,939,391
919,343,939,391
877,383,919,343
578,397,626,371
578,397,619,424
619,424,626,371
530,397,578,397
567,434,578,397
530,397,567,434
567,434,619,424
939,391,947,305
939,391,956,523
947,305,956,523
919,343,947,305
427,199,467,241
427,199,460,169
131,64,191,79
176,20,191,79
131,64,176,20
658,479,709,494
670,519,709,494
658,479,670,519
630,520,658,479
534,354,578,397
530,397,534,354
487,378,534,354
501,322,534,354
534,354,559,305
501,322,559,305
211,358,246,399
246,399,263,346
211,358,263,346
619,331,666,345
626,371,666,345
619,331,626,371
638,159,694,161
638,159,644,211
84,401,99,344
47,328,99,344
312,211,332,168
312,211,380,187
332,168,380,187
26,134,66,157
841,421,890,433
841,421,878,487
878,487,890,433
890,433,931,485
841,421,877,383
877,383,890,433
890,433,939,391
840,343,877,383
840,343,919,343
828,539,902,528
828,539,956,523
828,539,863,530
863,530,902,528
785,495,828,539
745,502,828,539
600,472,630,520
573,517,600,472
545,484,573,517
563,256,608,292
559,305,608,292
920,189,947,130
895,120,947,130
895,120,920,189
895,70,930,92
895,70,895,120
895,120,930,92
843,135,844,90
843,135,895,120
844,90,895,120
930,92,947,130
844,90,895,70
191,79,211,1
211,1,274,38
207,308,211,358
16,222,61,208
12,178,16,222
320,49,338,117
294,88,338,117
284,139,338,117
332,168,338,117
284,139,332,168
263,346,301,382
290,437,301,382
290,437,339,427
246,399,301,382
246,399,290,437
26,134,72,81
27,77,72,81
578,397,579,349
579,349,626,371
579,349,619,331
608,292,619,331
579,349,608,292
534,354,579,349
559,305,579,349
174,338,207,308
144,280,207,308
144,280,174,338
130,318,174,338
130,318,144,280
174,338,211,358
512,269,524,218
524,218,563,256
524,218,573,195
563,256,573,195
338,117,375,142
332,168,375,142
375,142,380,187
754,147,802,146
754,147,766,108
766,108,802,146
750,200,802,146
27,77,52,51
52,51,72,81
0,514,44,519
0,477,0,514
0,477,44,519
901,308,947,305
901,308,919,343
840,343,901,308
321,264,354,308
402,353,406,293
354,308,406,293
354,308,402,353
358,371,402,353
166,527,212,533
102,538,166,527
102,538,212,533
94,478,102,538
44,519,94,478
44,519,102,538
619,331,670,296
608,292,670,296
666,345,670,296
72,81,91,48
91,48,131,64
72,81,131,64
52,51,91,48
890,433,933,444
931,485,933,444
933,444,939,391
933,444,956,523
408,48,461,70
424,109,461,70
408,48,424,109
779,266,802,308
802,308,818,265
753,316,779,266
753,316,802,308
37,413,84,401
16,377,37,413
591,124,638,159
581,161,638,159
591,124,611,80
563,84,611,80
26,134,96,115
72,81,96,115
702,447,709,494
658,479,702,447
658,479,669,421
669,421,702,447
702,447,745,502
702,447,764,443
709,494,745,502
563,84,567,35
567,35,611,80
751,72,789,21
789,21,803,63
401,499,453,531
379,535,401,499
357,503,401,499
357,503,379,535
520,176,573,195
320,49,368,41
320,49,375,96
368,41,375,96
375,142,424,109
375,96,375,142
375,96,424,109
338,117,375,96
420,156,427,199
420,156,460,169
375,142,420,156
420,156,424,109
380,187,427,199
380,187,420,156
35,13,72,0
35,13,52,51
52,51,72,0
72,0,91,48
335,539,357,503
297,516,335,539
297,516,357,503
124,515,166,527
124,515,151,477
151,477,166,527
102,538,124,515
94,478,124,515
94,478,151,477
785,495,795,479
764,443,795,479
401,499,469,488
453,531,469,488
439,457,469,488
401,499,439,457
469,488,494,470
725,121,751,72
725,121,766,108
725,121,754,147
694,161,725,121
678,95,725,121
678,95,694,161
666,345,669,373
626,371,669,373
626,371,669,421
669,373,669,421
773,387,817,412
764,443,773,387
764,443,817,412
817,412,841,421
795,479,841,421
795,479,817,412
817,412,877,383
817,412,840,343
724,275,779,266
724,275,753,316
708,226,724,275
724,275,744,236
498,73,563,84
498,73,520,108
541,40,563,84
498,73,541,40
454,18,461,70
130,318,147,380
147,380,174,338
84,401,147,380
99,344,147,380
84,401,124,437
99,344,130,318
78,291,99,344
47,328,78,291
217,225,268,237
217,225,234,268
78,291,130,318
608,292,637,244
608,292,651,272
651,272,670,296
802,146,820,212
64,274,110,231
61,208,64,274
61,208,110,231
16,222,64,274
47,328,64,274
64,274,78,291
268,237,312,211
312,211,321,264
268,237,321,264
0,0,35,13
0,0,72,0
0,269,16,222
0,269,64,274
920,189,940,239
892,241,940,239
892,241,920,189
820,212,892,241
818,265,892,241
197,440,246,399
197,440,239,452
239,452,246,399
197,440,200,492
151,477,200,492
498,73,507,122
507,122,520,108
91,48,123,30
123,30,131,64
72,0,123,30
123,30,176,20
212,533,253,538
253,538,257,499
253,538,335,539
253,538,297,516
102,538,253,538
670,296,696,257
696,257,724,275
670,296,724,275
670,296,700,316
700,316,724,275
700,316,753,316
666,345,700,316
737,43,751,72
737,43,789,21
461,70,498,73
498,73,500,41
461,70,500,41
500,41,512,0
500,41,541,40
454,18,500,41
669,421,710,404
669,373,710,404
702,447,710,404
710,404,764,443
710,404,773,387
802,308,840,343
840,343,873,275
802,308,873,275
818,265,873,275
873,275,901,308
873,275,892,241
892,241,901,308
363,255,406,293
363,255,420,248
312,211,363,255
321,264,363,255
354,308,363,255
363,255,380,187
723,5,789,21
