TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
3,269.854,96.707,0
3,270.199,96.977,1
3,269.939,97.461,2
3,269.016,96.923,3
3,268.651,96.652,4
3,268.59,97.777,5
3,267.799,96.644,6
3,267.541,96.56,7
3,267.861,96.62,8
3,267.716,96.36,9
3,267.112,95.261,10
3,267.434,96.413,11
3,267.885,96.916,12
3,268.318,96.493,13
3,268.183,96.611,14
3,268.004,96.563,15
3,268.381,96.904,16
3,268.802,96.952,17
3,269.063,97.358,18
3,268.29,96.894,19
3,268.655,96.871,20
3,268.538,96.319,21
3,269.207,96.209,22
3,268.971,96.377,23
3,269.323,95.912,24
3,269.277,96.584,25
3,268.932,96.477,26
3,269.664,97.184,27
3,270.452,96.004,28
3,270.268,97.688,29
3,269.479,97.028,30
3,269.977,96.885,31
3,269.857,95.975,32
3,270.525,95.596,33
3,269.726,96.373,34
3,269.719,96.303,35
3,269.979,96.282,36
3,269.736,95.792,37
3,269.285,96.335,38
3,268.508,95.467,39
3,268.192,96.2,40
3,268.224,95.464,41
3,267.976,96.046,42
3,269.242,98.981,43
3,266.653,96.24,44
3,262.541,93.594,45
3,261.639,85.457,46
3,262.227,80.139,47
3,262.329,79.534,48
3,263.725,78.152,49
3,263.828,78.256,50
3,263.707,78.399,51
3,262.57,78.829,52
3,262.765,79.57,53
3,262.131,79.623,54
3,262.261,79.404,55
3,262.088,79.848,56
3,261.394,79.571,57
3,262.322,80.17,58
3,262.589,80.308,59
3,261.439,79.595,60
3,262.348,79.646,61
3,261.962,79.191,62
3,261.785,79.844,63
3,261.366,79.61,64
3,261.232,79.116,65
3,260.831,78.236,66
3,260.959,78.791,67
3,261.137,78.427,68
3,261.404,78.434,69
3,261.12,78.903,70
3,260.7,78.843,71
3,260.163,78.454,72
3,259.172,77.804,73
3,258.873,78.6,74
3,258.544,79.54,75
3,258.149,78.556,76
3,258.265,78.723,77
3,258.298,79.412,78
3,258.215,78.378,79
3,257.422,78.262,80
3,257.223,78.794,81
3,256.928,78.683,82
3,257.53,79.028,83
3,258.605,79.342,84
3,259.14,79.387,85
3,260.12,78.166,86
3,260.786,78.257,87
3,260.614,78.091,88
3,261.366,77.336,89
3,260.87,77.364,90
3,261.33,76.275,91
3,260.912,76.926,92
3,260.179,76.673,93
3,259.702,77.705,94
3,260.222,77.941,95
3,260.01,78.233,96
3,259.653,77.229,97
3,258.953,76.664,98
3,258.86,76.184,99
3,259.688,75.796,100
3,259.759,74.891,101
3,259.961,75.645,102
3,259.597,76.189,103
3,259.615,76.597,104
3,259.971,77.091,105
3,259.554,77.445,106
3,259.631,76.731,107
3,259.661,76.891,108
3,259.986,77.463,109
3,260.187,77.604,110
3,260.006,77.96,111
3,260.483,77.871,112
3,260.518,77.954,113
3,260.238,77.718,114
3,259.747,77.535,115
3,260.116,77.799,116
3,260.284,77.913,117
3,261.1,77.688,118
3,261.065,77.88,119
3,260.78,78.675,120
3,261.359,79.135,121
3,261.348,79.107,122
3,261.554,78.961,123
3,261.576,79.467,124
3,261.248,78.755,125
3,261.508,79.944,126
3,261.537,79.708,127
3,261.234,80.91,128
3,261.535,81.458,129
3,261.758,81.61,130
3,261.455,82.072,131
3,261.455,82.311,132
3,261.009,82.384,133
3,260.673,82.747,134
3,260.099,82.701,135
3,260.253,83.181,136
3,260.264,83.189,137
3,259.355,83.528,138
3,259.24,83.276,139
3,258.883,83.641,140
3,258.942,84.659,141
3,258.714,84.884,142
3,258.949,85.307,143
3,258.534,85.078,144
3,258.788,84.921,145
3,258.758,85.581,146
3,258.614,85.274,147
3,258.945,86.635,148
3,258.632,85.978,149
3,258.579,85.859,150
3,258.782,85.717,151
3,258.483,85.101,152
3,258.02,84.243,153
3,258.115,83.843,154
3,258.373,84.063,155
3,257.7,84.235,156
3,257.533,84.314,157
3,257.703,84.78,158
3,258.134,84.334,159
3,258.244,84.223,160
3,258.23,84.888,161
3,258.009,84.62,162
3,258.151,84.517,163
3,257.672,83.99,164
3,258.469,84.045,165
3,258.551,83.879,166
3,258.281,84.039,167
3,258.498,83.511,168
3,257.877,83.604,169
3,259.081,82.4,170
3,258.366,81.655,171
3,258.655,81.58,172
3,258.911,82.6,173
3,258.297,82.574,174
3,258.781,81.639,175
3,258.954,81.727,176
3,259.274,80.913,177
3,258.726,80.546,178
3,259.936,79.783,179
3,260.008,79.619,180
3,260.203,78.857,181
3,260.019,79.362,182
3,260.269,79.051,183
3,260.734,79.851,184
3,260.581,79.548,185
3,259.952,79.775,186
3,260.405,79.689,187
3,260.844,79.691,188
3,260.361,79.54,189
3,259.864,79.633,190
3,259.582,79.214,191
3,260.046,79.275,192
3,259.674,80.047,193
3,259.855,79.267,194
3,260.017,78.736,195
3,260.338,79.506,196
3,259.492,79.786,197
3,260.018,79.545,198
3,260.063,79.804,199
3,260.432,79.547,200
3,260.578,80.054,201
3,260.228,79.293,202
3,259.589,78.828,203
3,259.878,79.135,204
3,259.551,79.286,205
3,260.292,79.762,206
3,260.613,79.47,207
3,260.044,79.427,208
3,260.848,80.347,209
3,260.85,79.645,210
3,260.025,79.442,211
3,260.652,79.381,212
3,260.443,78.943,213
3,261.258,78.676,214
3,261.053,78.33,215
3,261.61,77.913,216
3,261.543,77.841,217
3,261.889,77.833,218
3,262.005,77.998,219
3,262.54,78.146,220
3,262.16,78.426,221
3,262.117,78.207,222
3,262.632,77.196,223
3,262.109,77.02,224
3,261.907,76.051,225
3,261.577,76.699,226
3,260.798,76.527,227
3,261.656,75.668,228
3,261.384,75.699,229
3,261.197,75.608,230
3,261.866,75.341,231
3,261.262,75.803,232
3,261.176,75.508,233
3,261.601,75.962,234
3,261.111,75.503,235
3,260.445,74.806,236
3,260.473,74.843,237
3,261.105,75.711,238
3,260.578,76.26,239
3,260.304,76.052,240
3,260.698,75.85,241
3,260.078,75.693,242
3,261.224,76.418,243
3,260.807,76.89,244
3,261.356,77.858,245
3,260.646,76.873,246
3,260.809,77.873,247
3,261.018,78.323,248
3,261.28,77.926,249
3,262.009,78.07,250
3,262.061,77.725,251
3,261.747,78.285,252
3,262.041,78.078,253
3,261.209,77.982,254
3,260.329,77.393,255
3,260.495,77.881,256
3,260.807,78.336,257
3,260.389,77.976,258
3,261.266,78.159,259
3,261.442,78.231,260
3,261.41,78.05,261
3,260.527,77.502,262
3,261.29,79.042,263
3,261.928,79.597,264
3,261.699,79.356,265
3,262.892,79.749,266
3,262.212,79.746,267
3,262,80.103,268
3,262.349,79.638,269
3,261.04,78.985,270
3,261.195,78.398,271
3,260.869,78.885,272
3,260.815,78.997,273
3,261.308,78.55,274
3,261.084,77.874,275
3,260.991,78.047,276
3,260.54,78.263,277
3,260.473,78.865,278
3,260.541,79.01,279
3,260.608,79.405,280
3,260.526,79.622,281
3,260.699,79.192,282
3,261.244,79.483,283
3,260.697,79.327,284
3,260.995,79.28,285
3,260.763,79.105,286
3,260.868,78.538,287
3,260.801,79.544,288
3,260.426,79.183,289
3,259.941,79.33,290
3,259.709,79.989,291
3,259.669,80.25,292
3,260.144,80.935,293
3,260.192,80.369,294
3,261.124,80.363,295
3,260.868,81.371,296
3,261.011,81.089,297
3,259.576,80.731,298
3,259.305,80.436,299
3,259.72,79.608,300
3,260.577,79.286,301
3,260.595,78.742,302
3,260.759,78.924,303
3,260.568,78.756,304
3,259.763,78.969,305
3,260.101,80.116,306
3,260.121,79.305,307
3,260.184,78.934,308
3,259.308,79.493,309
3,259.621,79.342,310
3,259.918,80.39,311
3,259.875,79.282,312
3,260.323,79.292,313
3,260.21,79.709,314
3,260.234,79.911,315
3,259.38,79.711,316
3,259.128,80.381,317
3,258.776,80.597,318
3,257.837,80.061,319
3,257.983,80.243,320
3,258.088,79.477,321
3,257.294,79.926,322
3,256.851,80.086,323
3,257.228,80.436,324
3,257.128,81.042,325
3,257.034,80.999,326
3,256.656,81.677,327
3,256.368,83.23,328
3,255.755,83.194,329
3,256.597,83.738,330
3,257.383,82.798,331
3,257.493,82.122,332
3,257.127,80.768,333
3,257.551,80.938,334
3,256.207,81.577,335
3,257.796,81.79,336
3,257.889,80.752,337
3,257.756,81.666,338
3,257.506,82.264,339
3,257.124,82.56,340
3,257.541,82.363,341
3,257.194,82.239,342
3,257.987,80.434,343
3,257.379,80.469,344
3,256.614,80.895,345
3,256.623,81.301,346
3,257.623,80.848,347
3,257.991,81.521,348
3,257.302,82.353,349
3,256.497,81.892,350
3,256.311,82.053,351
3,256.422,82.61,352
3,256.251,83.216,353
3,255.372,82.364,354
3,255.524,83.227,355
3,256.23,83.192,356
3,256.086,82.563,357
3,256.822,82.431,358
3,256.445,82.061,359
3,257.683,81.371,360
3,257.857,82.218,361
3,257.691,82.463,362
3,257.851,81.47,363
3,257.349,81.209,364
3,257.459,80.441,365
3,258.08,81.646,366
3,258.224,80.957,367
3,257.508,81.223,368
3,258.349,81.798,369
3,258.235,81.966,370
3,257.503,81.607,371
3,257.423,81.906,372
3,257.213,80.271,373
3,257.032,80.144,374
3,257.317,80.548,375
3,257.437,81.444,376
3,256.214,80.882,377
3,256.723,80.381,378
3,257.084,80.363,379
3,256.945,80.251,380
3,257.189,80.173,381
3,256.916,79.984,382
3,257.56,79.997,383
3,257.402,80.017,384
3,257.17,79.496,385
3,258.075,79.032,386
3,257.725,79.835,387
3,257.656,79.651,388
3,257.986,79.491,389
3,257.63,79.885,390
3,256.827,79.461,391
3,256.356,81.276,392
3,256.392,81.9,393
3,255.997,82.805,394
3,255.507,82.7,395
3,256.208,81.665,396
3,255.598,81.847,397
3,256.891,83.425,398
3,256.686,83.34,399
3,256.719,82.819,400
3,256.292,83.218,401
3,254.947,82.352,402
3,254.679,82.488,403
3,254.543,81.825,404
3,255.499,81.694,405
3,255.848,81.971,406
3,257.438,82.327,407
3,256.112,81.982,408
3,256.09,81.631,409
3,255.301,80.697,410
3,256.38,80.378,411
3,256.043,81.185,412
3,256.009,81.343,413
3,255.149,82.268,414
3,255.787,82.041,415
3,257.123,82.07,416
3,256.897,81.876,417
3,257.226,82.008,418
3,257.026,82.33,419
3,256.802,82.712,420
3,257.353,82.219,421
3,255.686,82.18,422
3,256.432,82.15,423
3,256.368,82.812,424
3,255.839,82.577,425
3,256.45,81.199,426
3,256.388,81.183,427
3,256.287,81.482,428
3,258.211,80.802,429
3,257.763,81.295,430
3,258.285,80.243,431
3,257.631,80.429,432
3,257.035,80.712,433
3,257.796,80.823,434
3,257.296,80.898,435
3,257.898,80.766,436
3,257.698,81.128,437
3,257.06,81.439,438
3,256.69,81.344,439
3,257.348,79.676,440
3,257.77,80.366,441
3,257.31,81.005,442
3,257.589,80.611,443
3,257.471,80.438,444
3,257.448,80.337,445
3,257.535,78.606,446
3,257.908,78.414,447
3,257.535,78.787,448
3,258.096,79.548,449
3,259.319,79.697,450
3,259.18,80.323,451
3,259.287,79.826,452
3,259.211,79.43,453
3,258.5,79.586,454
3,258.702,78.755,455
3,258.407,78.36,456
3,259.386,78.062,457
3,259.623,77.381,458
3,258.852,76.267,459
3,258.309,75.51,460
3,259.304,76.039,461
3,259.029,75.076,462
3,258.836,75.61,463
3,259.387,75.735,464
3,260.005,75.899,465
3,259.677,76.369,466
3,260.166,76.406,467
3,260.927,76.986,468
3,260.135,76.679,469
3,259.912,76.676,470
3,260.007,77.601,471
3,259.565,76.25,472
3,258.677,75.506,473
3,258.677,75.008,474
3,258.463,74.567,475
3,258.278,74.114,476
3,258.302,74.349,477
3,258.015,74.634,478
3,257.587,74.506,479
3,257.567,73.704,480
3,257.261,73.634,481
3,256.918,73.481,482
3,256.881,72.849,483
3,257.268,73.396,484
3,257.36,72.619,485
3,258.16,71.427,486
3,258.364,72.25,487
3,257.719,71.67,488
3,257.8,71.957,489
3,257.741,72.159,490
3,257.325,71.278,491
3,257.139,70.975,492
3,257.708,71.562,493
3,257.611,71.865,494
3,258.511,72.382,495
3,258.701,71.991,496
3,258.988,72.412,497
3,258.744,72.121,498
3,258.493,72.528,499
3,259.083,73.049,500
3,257.997,71.824,501
3,258.133,72.521,502
3,257.119,71.918,503
3,257.704,71.599,504
3,258.414,72.195,505
3,258.297,73.029,506
3,258.557,72.271,507
3,258.545,72.402,508
3,257.476,72.043,509
3,257.266,73.251,510
3,257.529,72.29,511
3,257.383,72.696,512
3,257.375,72.571,513
3,256.797,71.795,514
3,258.106,71.951,515
3,258.316,72.488,516
3,258.374,71.686,517
3,258.754,71.13,518
3,258.888,71.601,519
3,258.915,71.336,520
3,258.708,71.852,521
3,259.717,72.04,522
3,259.021,71.784,523
3,258.652,72.408,524
3,258.844,71.973,525
3,258.85,73.673,526
3,258.825,73.942,527
3,259.29,73.922,528
3,259.296,73.727,529
3,258.997,74.487,530
3,258.443,75.205,531
3,258.911,75.123,532
3,259.119,74.564,533
3,259.633,74.758,534
3,259.235,74.63,535
3,258.931,76.167,536
3,259.897,77.174,537
3,259.437,77.521,538
3,258.875,78.05,539
3,259.261,78.163,540
3,258.617,79.123,541
3,257.802,78.125,542
3,258.382,78.662,543
3,258.76,78.599,544
3,257.537,78.28,545
3,257.617,78.374,546
3,258.716,78.492,547
3,258.074,78.05,548
3,258.047,77.508,549
3,257.728,77.172,550
3,257.878,76.467,551
3,257.619,77.187,552
3,258.26,77.782,553
3,259.887,77.098,554
3,259.218,77.76,555
3,260.014,77.312,556
3,260.753,76.189,557
3,259.98,76.427,558
3,259.629,77.081,559
3,259.772,76.045,560
3,259.626,75.73,561
3,259.918,73.665,562
3,260.825,74.4,563
3,261.795,75,564
3,261.608,74.897,565
3,261.11,75.037,566
3,260.919,75.71,567
3,260.67,74.06,568
3,260.911,75.105,569
3,259.863,75.317,570
3,260.338,75.136,571
3,259.59,74.915,572
3,259.578,75.329,573
3,259.051,75.982,574
3,258.772,75.496,575
3,259.532,74.921,576
3,259.429,75.412,577
3,259.713,76.985,578
3,259.024,77.172,579
3,258.423,77.712,580
3,257.85,78.026,581
3,257.991,77.088,582
3,258.395,77.281,583
3,258.904,76.624,584
3,259.431,75.965,585
3,258.96,75.219,586
3,258.695,74.845,587
3,258.612,74.684,588
3,259.428,75.903,589
3,259.541,76.755,590
3,259.133,75.485,591
3,257.829,75.208,592
3,257.893,76.197,593
3,258.793,75.072,594
3,258.953,74.98,595
3,258.452,75.064,596
3,258.427,75.657,597
3,257.848,75.524,598
3,258.567,76.704,599
3,258.89,76.844,600
3,259.116,76.691,601
3,259.188,77.019,602
3,258.599,78.231,603
3,256.534,79.509,604
3,256.865,79.259,605
3,257.126,79.228,606
3,257.08,80.011,607
3,256.92,80.035,608
3,256.733,80.638,609
3,256.756,80.725,610
3,257.296,80.098,611
3,256.99,80.957,612
3,257.121,82.459,613
3,256.073,82.069,614
3,256.578,83.049,615
3,256.718,84.034,616
3,256.151,84.47,617
3,256.016,84.742,618
3,254.422,84.007,619
3,254.254,84.033,620
3,255.568,83.121,621
3,255.281,84.206,622
3,254.349,85.241,623
3,254.21,86.367,624
3,254.069,86.044,625
3,255.183,86.528,626
3,256.129,85.967,627
3,255.808,86.831,628
3,254.859,86.282,629
3,254.915,86.493,630
3,254.67,86.994,631
3,254.342,86.464,632
3,254.919,87.344,633
3,254.214,87.656,634
3,254.372,86.708,635
3,254.672,86.457,636
3,254.939,86.097,637
3,253.604,86.094,638
3,253.286,86.442,639
3,252.95,87.339,640
3,253.113,86.883,641
3,253.833,86.908,642
3,253.618,87.677,643
3,253.049,88.442,644
3,253.197,87.768,645
3,254.019,87.813,646
3,254.585,87.691,647
3,254.535,87.798,648
3,253.62,87.611,649
3,254.087,86.813,650
3,254.154,87.575,651
3,254.649,87.553,652
3,255.079,87.772,653
3,254.62,87.926,654
3,254.63,87.876,655
3,253.511,87.862,656
3,254.645,87.901,657
3,254.595,87.468,658
3,255.141,87.545,659
3,254.888,86.732,660
3,254.448,86.617,661
3,254.901,86.635,662
3,253.705,86.457,663
3,253.641,87.08,664
3,253.762,87.658,665
3,253.567,87.949,666
3,253.691,87.945,667
3,254.058,88.245,668
3,253.336,88.107,669
3,253.597,88.445,670
3,254.356,88.334,671
3,255.062,87.271,672
3,255.175,87.952,673
3,254.21,86.964,674
3,255.248,86.998,675
3,254.452,87.219,676
3,253.728,88.077,677
3,254.201,87.525,678
3,254.5,87.623,679
3,255.28,87.892,680
3,255.489,87.715,681
3,255.373,88.118,682
3,255.578,88.115,683
3,254.893,89.097,684
3,255.259,88.051,685
3,255.014,87.791,686
3,254.666,87.207,687
3,253.628,87.054,688
3,253.328,87.319,689
3,253.598,87.083,690
3,254.838,86.652,691
3,254.226,87.704,692
3,254.147,87.062,693
3,252.95,86.902,694
3,253.483,87.681,695
3,252.935,88.003,696
3,253.243,88.884,697
3,252.084,89.04,698
3,253.468,88.717,699
3,253.157,88.038,700
3,254.298,87.748,701
3,254.982,88.435,702
3,254.803,88.804,703
3,254.94,89.156,704
3,255.108,87.582,705
3,255.303,87.287,706
3,255.264,87.543,707
3,254.68,87.882,708
3,254.909,87.562,709
3,254.628,87.518,710
3,255.215,87.424,711
3,254.452,88.204,712
3,254.318,88.352,713
3,254.055,89.28,714
3,254.061,90.031,715
3,253.939,88.858,716
3,253.348,88.539,717
3,254.398,88.801,718
3,255.412,87.871,719
3,255.925,86.484,720
3,256.053,86.627,721
3,256.822,86.031,722
3,257.156,86.541,723
3,257.732,86.659,724
3,258.604,85.312,725
3,257.915,84.928,726
3,258.053,85.46,727
3,258.041,85.887,728
3,256.395,86.627,729
3,256.05,86.928,730
3,256.555,87.399,731
3,255.818,87.751,732
3,256.103,88.383,733
3,255.087,88.125,734
3,254.53,88.662,735
3,254.899,88.176,736
3,254.11,87.943,737
3,254.268,87.901,738
3,253.892,88.563,739
3,252.929,88.152,740
3,253.633,88.724,741
3,253.318,87.526,742
3,253.429,88.216,743
3,253.961,87.769,744
3,253.99,88.118,745
3,255.154,88.849,746
3,255.253,90.125,747
3,255.591,89.248,748
3,255.111,90.052,749
3,256.071,90.376,750
3,256.659,89.924,751
3,256.518,89.19,752
3,257.865,89.821,753
3,258.199,89.378,754
3,257.893,89.467,755
3,257.67,89.619,756
3,257.835,89.289,757
3,258.64,88.896,758
3,258.295,88.534,759
3,258.826,88.177,760
3,258.586,87.343,761
3,258.828,87.838,762
3,257.668,87.905,763
3,257.528,88.38,764
3,257.731,88.743,765
3,257.88,88.56,766
3,258.323,89.657,767
3,257.111,89.677,768
3,257.515,89.242,769
3,257.805,89.447,770
3,257.848,89.311,771
3,257.068,89.53,772
3,258.213,88.54,773
3,258.167,89.046,774
3,258.246,90.071,775
3,257.231,90.773,776
3,257.973,91.028,777
3,258.418,91.714,778
3,258.762,91.717,779
3,258.752,91.112,780
3,258.657,90.122,781
3,258.509,90.915,782
3,258.503,90.162,783
3,258.453,90.664,784
3,258.354,90.659,785
3,257.674,90.255,786
3,258.449,90.739,787
3,258.164,90.591,788
3,257.526,91.428,789
3,257.531,92.454,790
3,257.205,92.414,791
3,257.257,92.592,792
3,256.391,91.193,793
3,256.014,90.724,794
3,256.849,90.947,795
3,257.231,91.979,796
3,257.117,91.851,797
3,256.952,91.038,798
3,257.009,90.451,799
3,257.977,90.639,800
3,257.56,90.949,801
3,257.396,90.335,802
3,257.201,90.626,803
3,258.439,92.258,804
3,258.491,93.724,805
3,257.321,93.255,806
3,257.901,91.782,807
3,258.288,94.816,808
3,259.216,95.146,809
3,259.668,95.174,810
3,259.073,93.946,811
3,259.206,93.951,812
3,259.127,94.471,813
3,258.726,93.459,814
3,258.623,94.633,815
3,258.69,93.387,816
3,257.397,92.801,817
3,257.896,93.722,818
3,258.408,94.202,819
3,258.586,93.263,820
3,258.334,93.831,821
3,257.91,93.049,822
3,259.219,92.323,823
3,259.035,93.108,824
3,258.106,92.444,825
3,259.54,93.306,826
3,258.34,92.433,827
3,257.613,92.444,828
3,258.317,92.586,829
3,258.199,92.879,830
3,258.417,93.189,831
3,258.696,94.456,832
3,259.172,94.342,833
3,259.534,94.958,834
3,259.841,94.596,835
3,259.005,93.668,836
3,258.772,94.66,837
3,257.517,93.663,838
3,258.752,94.273,839
3,259.015,94.26,840
3,259.452,94.59,841
3,260.3,94.803,842
3,260.474,94.331,843
